total,m0009,m1014,m1519,m2024,m2529,m3034,m3539,m4044,m4549,m5054,m5559,m6064,m6569,m70,w0009,w1014,w1519,w2024,w2529,w3034,w3539,w4044,w4549,w5054,w5559,w6064,w6569,w70,region,time,region_cat
206012.9871,6478.8314,2946.1694,3618.2036,5445.8817,9827.3012,10202.3129,10962.2275,8882.0378,9296.9711,8433.1546,8739.7367,6999.4289,4650.8845,8358.4358,5443.3356,2682.7483,3466.1928,5978.2896,9515.4681,8825.3649,9170.6786,6955.2697,7798.2975,7475.7655,8709.9415,7458.1301,5356.0184,12335.9159,금천구,2022-12-25 20:00:00,SW2
205095.6363,6112.2342,2791.7528,3558.8309,5249.1074,9868.4987,10196.4237,10935.8931,8861.5132,9267.4729,8246.3039,8609.1859,6964.2215,4638.5002,8394.0181,5631.9561,2770.9185,3485.4323,6014.8135,9759.4157,8853.8938,9055.0969,6936.369,7754.2083,7408.8807,8650.4065,7354.5204,5389.2885,12336.4764,금천구,2022-12-25 21:00:00,SW2
207212.9476,6152.27,2815.9543,3673.6135,5564.1766,10055.6437,10431.3356,10979.8018,8860.8029,9125.2728,8186.9331,8642.0747,6978.416,4669.6315,8371.8222,5556.561,2725.4343,3696.9929,6308.5297,10176.9627,9022.4052,9076.1544,6907.1801,7809.0221,7455.57,8698.1187,7533.4405,5432.2032,12306.6301,금천구,2022-12-25 22:00:00,SW2
205278.4491,5933.2562,2757.9898,3565.2933,5533.1055,10207.2378,10504.3417,10934.534,8748.6646,9063.2393,8101.0645,8642.414,6785.0102,4648.8317,8212.8631,5195.5881,2625.5638,3703.0465,6367.2187,10349.1848,9236.5173,8996.7375,6811.5299,7600.2714,7311.2635,8625.46,7263.601,5332.6743,12221.9345,금천구,2022-12-25 23:00:00,SW2
484698.1195,15667.9627,7036.8754,10791.1037,13640.2506,19942.006,21837.4794,24152.6047,20577.1173,20940.1364,17522.9265,18697.5023,14096.9397,10143.5142,18931.07,18486.2635,7669.2606,12035.9993,17849.3744,22462.9242,22014.3969,23164.4564,18669.3196,18915.3391,16201.546,18180.3352,15637.7435,11662.4616,27771.2113,영등포구,2022-12-25 12:00:00,SW2
490726.4762,15665.7903,7052.509,11391.8218,14156.5282,20629.6279,22010.4823,24307.2267,20539.8333,20581.326,17649.6147,18678.4495,14221.7288,10323.904,18896.0701,18757.5628,7699.5873,12850.3766,18995.068,23134.6966,22351.408,23228.3154,18702.9228,19021.3238,16256.0893,18436.2151,15686.5585,11769.7439,27731.6877,영등포구,2022-12-25 13:00:00,SW2
493697.5974,15423.7319,6931.2075,12107.9089,14598.7639,21286.078,22452.5009,24445.5429,20409.7001,20650.7901,17443.5682,18701.1317,14093.7304,10224.4279,18812.1873,18976.1867,7704.3257,13818.4354,19819.3034,23688.2109,22569.4746,23806.9175,18340.5075,18927.6611,16352.8346,18062.4774,15346.3073,11573.7007,27129.9909,영등포구,2022-12-25 14:00:00,SW2
497579.1093,15497.205,6963.9006,12680.5314,15088.3448,21627.3521,22591.0187,24693.8064,20567.6168,20530.1278,17532.0654,18680.59,14155.0892,10189.7204,18358.8788,19656.0686,7974.3306,14291.0548,20571.2026,24534.4443,23076.9675,23592.1622,18171.1246,18905.001,16305.0108,18114.7947,15257.6911,11469.6778,26503.3316,영등포구,2022-12-25 15:00:00,SW2
494945.8162,15716.8875,7041.5566,13036.7493,15216.3854,21734.2462,22648.839,24525.9649,20306.5203,20653.9171,17533.3576,18566.2274,13955.4395,9961.4413,17972.9363,19182.1871,7782.1438,14177.0316,20646.0577,24673.8479,22845.3246,23556.5388,18113.2813,18854.8762,16050.2894,18114.187,15130.4506,11214.1681,25734.966,영등포구,2022-12-25 16:00:00,SW2
486666.0567,15562.8137,6998.4725,12618.363,15308.0486,21692.926,22275.9896,24508.1838,20095.8264,20434.6315,17305.4509,18270.1985,13635.4625,9856.0647,17516.497,18252.2845,7466.1915,14070.1856,20537.1844,24453.1287,22659.6265,23148.4474,17698.0319,18579.0369,15659.96,17784.658,14670.0352,10831.7914,24776.5594,영등포구,2022-12-25 17:00:00,SW2
474258.1972,14871.8882,6708.1134,12088.0612,15014.461,21505.277,22125.2568,24161.7866,19681.3604,20092.6386,16671.4284,17600.4477,12744.3048,9315.6147,16903.6985,17445.0225,7160.1189,13355.1569,19960.124,24068.3101,22404.4437,23064.2141,17321.4612,18244.4298,15387.243,17204.5511,14320.7653,10598.0894,24239.9304,영등포구,2022-12-25 18:00:00,SW2
459074.4234,14229.6223,6424.84,11295.2965,14159.1755,21012.0044,21547.8028,23764.8623,19360.2493,19624.6103,16491.4687,17104.9676,12442.9659,9060.0502,16541.9893,16082.869,6655.7245,11947.2972,19053.3815,23508.3828,21870.4777,22442.1732,16962.1655,17494.0857,14928.835,16854.3239,13921.6028,10423.6727,23869.529,영등포구,2022-12-25 19:00:00,SW2
446258.7055,14001.0414,6316.717,10595.2594,13717.3342,20027.7675,21216.4026,23327.966,18873.3247,19376.7672,16154.8692,17015.2542,12105.871,8753.6528,16250.4193,15025.9486,6262.7944,10972.9341,17982.8167,22485.0077,21356.9773,22059.4412,16754.3779,17230.9951,14713.9564,16460.4899,13607.4747,10238.109,23374.725,영등포구,2022-12-25 20:00:00,SW2
433385.8919,13823.3908,6215.9108,9619.5041,12617.9669,19088.7871,20608.3654,22961.2896,18877.9798,18792.1441,15825.4228,16824.9021,12037.262,8677.5456,16162.5037,14301.2488,5958.6361,9283.7306,16731.0053,21514.4332,20687.5446,21994.8521,16491.0027,16922.1571,14402.883,16141.5891,13291.7078,10213.4102,23318.718,영등포구,2022-12-25 21:00:00,SW2
427580.6356,13531.6334,6081.279,9199.3028,11918.7219,18735.7338,20344.0574,22827.0746,18758.6811,18681.5997,15603.7499,16683.6586,11945.6797,8645.6032,16071.4204,14168.2823,5932.5808,8564.1503,16078.8183,20976.5513,20592.7269,21971.8573,16376.0162,16675.8481,14409.571,16076.0919,13196.7061,10139.9982,23393.2398,영등포구,2022-12-25 22:00:00,SW2
414126.3446,12944.3019,5784.6884,8503.3427,11163.3405,17871.8735,19829.6969,22443.9575,18390.9284,18144.0799,15212.3113,16280.6458,11722.5188,8472.7487,15870.5273,13589.7981,5698.5391,7597.7426,14754.1914,20333.3603,20153.965,21322.6086,16111.586,16209.969,14036.8151,15758.7027,13019.0627,9946.3181,22958.7217,영등포구,2022-12-25 23:00:00,SW2
371565.4752,12785.7338,5919.2544,9170.5798,14647.1818,18515.9822,15190.5714,16065.0999,14199.356,15222.8495,12885.3407,11954.2533,9271.6112,7360.123,15887.909,11955.3788,5452.0951,8338.6977,17326.3422,16952.65,14413.3817,15421.4234,13184.0863,14749.6054,13007.5445,13544.1902,12380.0692,9840.6236,25923.5384,동작구,2022-12-25 12:00:00,SW3
367553.8101,12785.602,5935.7796,8933.5965,14298.3878,18208.4675,15089.319,16029.9343,14075.1025,15260.6642,12832.5319,11965.0887,9192.5793,7261.4143,15952.7567,11761.6569,5389.4851,7856.8148,16766.4463,16422.5219,14126.3703,15369.0291,13211.5072,14676.6482,12835.2191,13483.1102,12201.2058,9680.4076,25952.1611,동작구,2022-12-25 13:00:00,SW3
364769.0494,12916.1484,6010.6992,8768.5068,13861.9738,17850.1821,14860.9628,15980.6008,13989.4607,15213.5332,12764.3242,11897.0785,9260.4502,7283.7662,16022.7177,11677.5248,5338.199,7730.7984,16152.316,15963.128,13954.2295,15235.898,13033.1794,14612.6685,12706.1042,13577.8054,12259.0294,9705.8341,26141.9314,동작구,2022-12-25 14:00:00,SW3
363170.5853,12881.6357,5999.8611,8654.4883,13530.804,17672.7033,14865.8234,15930.6301,13950.5006,15159.2356,12928.4567,11927.6349,9229.848,7292.6108,16054.2448,11493.6793,5228.1026,7388.2746,15672.2336,15601.3903,13891.5841,15243.2534,13272.3164,14569.6574,12692.4644,13498.5528,12300.572,9825.7075,26414.3194,동작구,2022-12-25 15:00:00,SW3
363551.9123,12960.2089,5993.3214,8624.6453,13415.4441,17465.4506,14762.4914,15966.521,14154.0951,15203.0145,12969.4766,12116.6663,9329.7092,7323.1841,16167.3825,11857.7421,5373.1228,7277.9704,15132.3006,15427.2919,13735.5525,15375.8178,13314.5109,14436.2095,12818.7657,13597.1869,12332.527,9961.964,26459.34,동작구,2022-12-25 16:00:00,SW3
367734.3363,13204.3259,6118.8034,8646.2716,13330.0846,17541.679,14890.7681,16116.0337,14166.7109,15346.1241,13208.995,12254.0528,9524.1418,7295.8614,16336.0272,12079.922,5485.7769,7322.6021,14985.0053,15680.1988,13882.0083,15842.3583,13503.9487,14769.2264,13074.2551,13883.6353,12420.5633,10104.9469,26720.0116,동작구,2022-12-25 17:00:00,SW3
376033.4265,13563.3951,6267.8317,8883.3004,13376.2165,17707.3705,15158.8374,16562.3313,14553.2148,15611.5621,13613.6901,12733.0545,9884.3766,7726.967,16546.3403,12504.0796,5663.7745,7531.2012,15346.4212,16236.9262,14192.8211,16130.7726,13843.3486,15062.208,13267.1915,14167.493,12601.0254,10173.4279,27124.2511,동작구,2022-12-25 18:00:00,SW3
380548.5676,13462.6414,6224.9048,8880.7959,13481.5409,18049.9946,15320.1483,16653.6026,14899.0445,15577.2786,13632.7565,12780.5283,9778.9423,7796.4599,16678.56,12768.929,5799.957,7659.9612,15828.3009,16811.0372,14616.5079,16675.6002,14031.1502,15239.7413,13405.1326,14242.6272,12933.9908,10209.3976,27109.037,동작구,2022-12-25 19:00:00,SW3
387780.2825,13565.6095,6248.6177,9093.3023,13865.6546,18393.9417,15602.1537,16843.2847,15005.1739,15909.3345,13792.4109,12950.3223,9933.0536,7820.2008,16770.4291,13151.6085,5997.2057,8068.2792,16549.2076,17578.4561,15103.9177,16978.21,14404.912,15403.8803,13585.9051,14607.2052,12972.4611,10260.9958,27324.5541,동작구,2022-12-25 20:00:00,SW3
393760.1433,13754.6178,6372.7314,9334.0106,14362.8491,19059.8894,15927.086,17059.3049,15151.4956,16036.7274,13881.1796,12916.6266,9951.6656,7829.4244,16657.6019,13157.2438,6002.327,8365.8634,17409.9976,18171.5571,15584.0513,17407.3307,14566.2717,15555.7979,13720.2329,14750.5604,13185.8431,10285.2847,27302.5743,동작구,2022-12-25 21:00:00,SW3
400781.871,13852.1355,6443.8791,9689.8354,15119.6654,19594.8547,16251.017,17300.7131,15479.1112,16361.037,14117.8654,12950.4568,9971.1037,7947.9305,16747.8586,13325.7523,6099.1301,8855.5133,18505.2405,18985.5482,15988.484,17589.9331,14573.8412,15753.7355,13722.9613,14826.5905,13206.2426,10285.248,27236.1858,동작구,2022-12-25 22:00:00,SW3
402180.0252,13812.1543,6468.5288,9745.3623,15373.5013,19711.0762,16327.2635,17233.3627,15282.1894,16528.9387,14132.9507,12896.6057,9986.0137,7886.2343,16716.9052,13359.522,6144.8149,9263.361,19262.7313,19189.5031,16029.505,17630.6003,14516.7386,15763.1603,13819.4968,14853.7102,13287.6198,10210.8402,26747.3355,동작구,2022-12-25 23:00:00,SW3
464102.3496,11963.5746,5725.6361,9504.5949,19559.7347,32492.665,25987.9355,22321.7575,17916.7203,19230.6169,15773.0463,14961.5043,11202.1208,8162.2446,18297.1632,11664.4473,5495.3373,9076.5934,23896.6141,29372.084,20600.0113,18340.2258,14535.568,15865.4964,14015.2964,15315.6345,13244.3025,11025.0296,28556.3929,관악구,2022-12-25 12:00:00,SW3
458191.9862,11836.3747,5687.4221,9604.7698,19096.0235,31879.682,25467.0428,22071.6887,17809.145,18942.2346,15577.8696,14753.2192,11214.7858,8177.8176,18054.4851,12113.2128,5657.7901,8889.7641,23108.9066,28437.4887,20247.1021,18024.2898,14441.1343,15732.0304,13878.655,15118.4287,13185.6163,10969.9394,28215.0698,관악구,2022-12-25 13:00:00,SW3
452814.8435,12032.5074,5729.4271,9374.8372,18912.2317,31285.4809,25094.6287,21938.1291,17564.5316,18898.3005,15440.8028,14650.4553,11133.6468,8074.284,18017.9639,12053.3287,5559.4665,8678.0427,22351.9872,27622.3773,20004.5239,17602.0177,14391.8018,15500.1269,13690.7282,15031.7606,13210.7089,10993.7752,27976.9716,관악구,2022-12-25 14:00:00,SW3
451261.6314,11935.342,5716.96,9193.6922,18637.6939,31109.7078,24970.9034,21815.1369,17617.0492,18805.902,15372.3973,14727.1917,11188.949,8112.2875,18141.9485,11756.7243,5424.6573,8586.9709,21990.3227,27341.1691,20005.985,17613.1997,14239.7412,15493.6825,13776.9167,15133.3126,13289.0714,11182.0058,28082.7145,관악구,2022-12-25 15:00:00,SW3
450934.131,11934.7355,5729.4816,9159.9228,18381.5103,30912.4144,24918.3259,21795.2367,17683.2328,18580.627,15358.366,14757.0032,11122.7778,8134.5264,18344.8606,11309.6425,5255.9094,8546.5468,21675.6588,27402.0386,20278.2601,17731.1655,14512.8675,15437.196,13973.3507,15268.313,13384.0627,11055.5247,28290.5753,관악구,2022-12-25 16:00:00,SW3
452731.1697,11943.7846,5682.9533,9132.9984,18347.9152,30843.8392,24943.0406,22212.6119,17760.7933,18518.4931,15311.0767,15000.7906,11263.8566,8238.0635,18388.9065,11194.0279,5219.1183,8423.8161,21625.1205,27662.4043,20505.9731,17985.5356,14668.4617,15486.0433,13987.6928,15346.0691,13395.0968,11185.5999,28457.0743,관악구,2022-12-25 17:00:00,SW3
459201.4357,11663.8338,5592.5956,9167.0367,18550.1377,31452.2774,25439.5828,22367.2591,18023.8224,18803.2318,15470.4002,15230.2118,11551.8923,8517.5725,18573.8815,11172.4381,5239.97,8588.3027,22200.1881,28573.455,20995.3942,18297.1604,14846.1054,15710.8522,14127.6069,15628.4512,13672.5223,11334.6144,28410.6464,관악구,2022-12-25 18:00:00,SW3
466627.2887,11593.4452,5604.0101,9348.2045,18852.6801,32284.0849,26022.3058,22804.5895,18152.0274,19182.4017,15617.4003,15213.705,11578.5851,8584.9117,18659.584,11107.0257,5226.0262,8816.5572,23093.5036,29698.2351,21520.5559,18758.0749,15129.5525,15833.133,14342.7895,15775.4657,13754.2176,11442.877,28631.3311,관악구,2022-12-25 19:00:00,SW3
476964.7473,11776.1669,5662.7872,9488.1504,19568.6298,33579.7967,26658.1609,23214.8879,18493.9827,19311.558,15818.5562,15457.3831,11748.1095,8687.9614,18740.273,11208.2638,5303.5831,9039.1611,24192.0648,31318.9163,22310.3431,19230.9904,15354.9506,16075.7707,14498.3605,15873.6172,13896.2778,11558.0023,28898.0377,관악구,2022-12-25 20:00:00,SW3
487733.7883,11868.7708,5726.3044,9666.5564,20225.3426,34679.3456,27700.9404,23876.4495,18845.4966,19510.5172,15888.3076,15600.5946,11781.8546,8690.913,18889.9038,11090.5169,5255.87,9405.1297,25464.1837,32981.454,23351.7826,19788.9148,15444.0509,16330.2985,14667.6394,16189.0963,14089.9481,11705.0444,29018.5562,관악구,2022-12-25 21:00:00,SW3
496206.1624,11835.4354,5719.879,9789.9465,20990.6446,35835.1591,28391.649,24206.5589,19104.4556,19700.9293,16063.582,15753.9451,11823.0771,8671.1791,19012.267,11151.6343,5313.3056,9709.9786,26615.6672,34116.6447,23883.711,20126.6158,15600.0569,16520.6864,14866.9946,16324.5025,14197.034,11810.3257,29070.3068,관악구,2022-12-25 22:00:00,SW3
504104.6904,11925.4026,5795.9837,9934.3572,21798.0645,36981.9408,28868.0425,24668.2386,19493.0508,19829.2966,16266.8595,15844.8555,11966.5004,8752.525,19051.1289,10998.6324,5266.1124,9720.6274,27885.5124,35179.7514,24320.3413,20382.105,15683.4073,16705.9595,14952.2428,16307.0416,14151.4747,11879.1123,29496.1175,관악구,2022-12-25 23:00:00,SW3
524848.3055,21198.1634,11278.673,19118.133,17360.5117,18196.2449,18118.7739,21552.1563,21863.3654,25474.1569,19909.8719,16891.9587,11961.6928,9449.3926,19207.5983,22051.0458,11597.4668,18001.3688,18786.6735,18932.4963,19015.4977,23868.7959,23058.0297,25142.1497,18764.8995,18132.1184,14878.3324,12020.4943,29018.2414,서초구,2022-12-25 12:00:00,SE1
527804.557,21350.4834,11234.9103,18506.8649,17650.9853,18734.5369,18460.527,21419.921,21847.961,25636.4367,19838.3075,16949.7537,11935.0268,9544.3759,19326.6519,22039.2993,11633.3824,18293.839,19020.5974,19955.0249,19379.9963,24034.5283,23125.7379,25213.9861,18834.5012,18201.9908,14893.1969,11928.6572,28813.0723,서초구,2022-12-25 13:00:00,SE1
523615.7671,20919.6222,11141.7367,18026.0242,17548.9376,18950.1936,18692.7427,21589.9958,21584.8567,25285.6993,19733.229,16854.607,11879.6955,9401.3002,18813.3571,21203.3518,11318.8575,17658.8418,19229.7291,20154.01,19853.634,23647.268,22922.1613,25227.1179,18744.7163,18068.3479,14731.2598,11748.7393,28685.7367,서초구,2022-12-25 14:00:00,SE1
519068.3489,21052.8512,11189.8872,17873.5529,17129.1792,18850.0534,18639.2271,21370.1279,21550.6567,25365.7663,19617.3766,16777.8975,11871.9408,9407.1657,18613.1233,20740.628,11122.0882,17252.1591,18914.9958,20219.3805,19587.4997,23092.0117,22844.9759,25200.5075,18608.8648,17860.3341,14492.2172,11516.8752,28307.0111,서초구,2022-12-25 15:00:00,SE1
511094.3273,20939.3769,11179.5042,16733.9171,16907.5754,18649.0955,18327.8088,21065.9285,21081.1969,25262.2428,19701.6547,16600.8693,11837.2681,9208.489,18402.891,20199.6727,10859.5006,16486.3498,18622.3544,19907.5091,19178.2589,22833.2917,22237.7893,25025.3447,18740.0354,17715.5496,14331.7299,11435.2509,27623.8717,서초구,2022-12-25 16:00:00,SE1
502469.7607,20951.2878,11157.3015,16189.8607,16500.2723,18141.3569,18190.5098,20655.2366,20997.8884,25067.0008,19580.484,16411.5658,11823.2461,9147.779,18318.3451,19433.6087,10461.418,16203.9518,18242.7769,19439.9408,18640.3543,22345.9734,22017.8606,24611.9141,18367.5398,17339.3784,14072.2927,11240.8037,26919.8146,서초구,2022-12-25 17:00:00,SE1
496745.3336,21024.3357,11204.773,15867.3429,16223.9684,17978.5227,17671.0225,20542.0593,20808.6953,24809.3698,19309.0234,16495.0407,11699.6926,9155.1687,18302.379,19452.8404,10439.0823,15901.7592,17892.6382,18987.4747,18297.4542,22006.5785,21698.4474,24139.1936,17994.9019,17255.899,13907.9834,10934.1549,26745.5302,서초구,2022-12-25 18:00:00,SE1
492834.3187,20797.1437,11143.6791,15816.862,15937.5752,17481.7993,17258.0362,20013.4122,20755.9237,24714.906,19287.3747,16431.7189,11734.6006,9099.4726,18102.6387,19979.3399,10683.3393,15906.8211,17777.5109,18490.9803,17819.554,21698.8986,21643.6497,23784.9789,17800.807,17127.1616,13832.4655,11050.1425,26663.5305,서초구,2022-12-25 19:00:00,SE1
488864.6448,21018.8958,11249.5241,15755.3679,15734.5905,17093.7829,16795.8195,19944.7424,20797.7162,24586.4082,19390.2256,16326.2859,11487.9373,8865.5827,17809.4622,20032.0245,10766.065,15526.2309,17321.7799,18053.0718,17741.6441,21629.5787,21702.8251,23803.4441,17784.6948,16621.2041,13501.0681,10909.4188,26615.2555,서초구,2022-12-25 20:00:00,SE1
483703.8021,21202.5011,11430.778,15519.55,15657.7318,16681.4068,16513.0814,19647.248,20689.4272,24617.2028,19285.4776,15982.8855,11200.3359,8649.7697,17794.1672,20268.3247,10892.9193,15657.1425,16787.9393,17367.7162,17100.9583,21317.3117,21733.3798,23676.0567,17381.4858,16142.6549,13241.6596,10766.0299,26498.6655,서초구,2022-12-25 21:00:00,SE1
475404.9447,21485.4076,11561.9888,15473.2115,14840.3919,15673.9952,15945.4761,19323.8717,20265.5417,24703.1335,19082.4912,15740.8232,11151.5823,8641.5426,17679.1864,20204.1547,10914.1996,15023.0216,15879.6903,16149.0663,16559.0236,21083.4969,21546.2619,23448.7277,17074.0866,15712.6933,13066.4604,10667.6953,26507.7181,서초구,2022-12-25 22:00:00,SE1
461562.8981,20954.5998,11324.5137,14682.3431,13948.3765,14549.0598,15114.4748,18589.1663,19864.4547,24333.4351,18761.7911,15407.8616,10880.2148,8523.4585,17310.3986,20053.7439,10890.9947,14167.1666,14786.4106,15104.0021,15825.7977,20607.3051,21190.3557,23091.3304,16601.4907,15476.4853,12722.1841,10507.779,26293.6986,서초구,2022-12-25 23:00:00,SE1
725243.6533,26047.2344,17010.6502,29972.3996,22198.4635,26324.7628,26782.6075,31212.8786,30071.3935,35032.6826,27346.042,21748.7925,15505.2569,12024.3166,24188.3186,26286.6862,16154.3899,30619.3648,28822.1114,30924.0095,28588.8988,32672.6953,32156.6232,35402.2381,24880.9531,22839.2673,18124.775,15221.4086,37084.4368,강남구,2022-12-25 12:00:00,SE1
732741.0928,25934.8968,16951.8023,31365.9469,23395.644,27293.3687,27189.2843,31568.8294,29861.2044,35086.1479,27116.5398,22023.4719,15287.6636,11984.9794,23727.3583,26477.4579,16195.3563,32093.4145,30620.2165,32229.1635,29338.9159,32759.8432,31707.8543,35456.421,24831.0638,22523.0178,17942.8925,15096.4881,36681.8445,강남구,2022-12-25 13:00:00,SE1
738098.235,26279.0764,17160.749,31855.6071,24191.7502,27893.4991,27266.5261,31799.8807,29960.7488,34880.8183,27297.2372,21763.9836,15291.6709,11749.194,23277.3726,26530.1577,16103.6579,33358.9174,32050.7279,33173.4849,29880.3463,33139.4188,31662.6244,35322.3313,24996.6764,22408.4842,17914.1486,14876.4719,36012.6675,강남구,2022-12-25 14:00:00,SE1
739467.6789,26175.436,17161.4024,31991.6867,24692.3864,28064.0368,27519.1738,31827.2725,29967.1318,34774.4673,27337.8963,21501.5811,15148.9179,11615.7191,22942.5118,26368.871,15989.635,33738.9845,32968.2131,34040.8413,30338.4589,33209.104,31664.3554,35476.7076,24791.4862,22257.7469,17904.6944,14655.6512,35343.3148,강남구,2022-12-25 15:00:00,SE1
736915.5553,26400.9595,17155.1291,32296.0062,24760.2629,28361.9376,27606.762,31569.8869,29879.7616,34502.4362,27245.3447,21281.2125,14906.2757,11651.2917,23171.8387,25639.8343,15748.0374,33936.7299,33405.913,33858.1048,29821.623,33022.63,31743.946,35344.9629,24486.2014,21992.8192,17647.2389,14522.9084,34955.5011,강남구,2022-12-25 16:00:00,SE1
727661.5221,25666.6473,16765.844,31347.055,24602.2564,28328.2385,27258.7174,31498.1855,29722.5423,33955.5598,26817.757,21245.2251,14998.4695,11569.769,22995.4181,25626.6641,15735.647,32704.2274,33087.0807,33366.2794,29421.9611,32620.4294,31163.9715,34593.6822,24166.5415,21686.1248,17378.4205,14481.8993,34856.907,강남구,2022-12-25 17:00:00,SE1
714448.3821,25750.6244,16774.1103,30704.0383,24175.7092,27366.0108,26765.2311,30478.4572,29399.9643,33817.5423,26636.4619,20722.1587,14623.8618,11282.499,22733.7739,24881.2015,15349.1086,30705.0119,32167.6121,32316.1701,28806.1466,32213.8054,31015.8951,34203.1632,23890.416,21424.6192,17099.8952,14480.5904,34664.3055,강남구,2022-12-25 18:00:00,SE1
703234.7187,26188.5829,16906.7841,29862.5839,23474.0052,26368.7357,26248.3437,30317.7141,28943.0059,33918.4572,26553.456,20599.3712,14354.9302,11095.7485,22795.303,24475.8819,15152.6853,29197.3638,30591.4836,31248.5497,27897.9495,31658.2241,30641.9879,33959.0562,23645.2684,21183.2079,17012.7015,14390.734,34552.6086,강남구,2022-12-25 19:00:00,SE1
690317.7859,26036.1919,16918.9737,28911.765,22599.5481,25473.7282,25403.2135,29748.2038,28888.6714,33845.7327,26567.1255,20579.3343,14263.7786,11141.1129,22694.0831,24530.7748,15249.2599,27881.8963,29012.2391,29082.1937,26418.2474,30816.5597,30342.1497,33687.9794,23295.6694,21087.3012,16828.0216,14409.4276,34604.6032,강남구,2022-12-25 20:00:00,SE1
677357.2778,26381.6982,17081.9907,27746.5329,21261.1214,24235.2738,24641.9421,28963.5045,28880.1344,33945.1047,26693.0415,20629.2821,14182.5257,11077.0665,22569.2487,24140.0643,15134.8954,25761.9502,27299.4363,27739.0799,25703.8988,30402.6558,30041.2893,33653.0896,23123.2773,20700.3265,16587.8898,14269.6285,34511.3244,강남구,2022-12-25 21:00:00,SE1
655131.1372,26351.584,17030.0217,25024.5825,19849.5944,23094.1484,23465.0207,28092.1945,28370.6927,33375.6203,26125.4265,20278.1597,13942.8245,10959.2851,22386.8703,24011.2065,15072.7428,22602.683,25027.5385,26050.365,24444.0716,29598.9146,29691.9352,32967.9724,22427.0586,20143.1082,16210.5914,14186.9825,34349.9428,강남구,2022-12-25 22:00:00,SE1
641762.09,26244.0945,16972.2794,23974.2097,18481.8344,21753.1406,22563.9432,27669.0967,28110.4859,33005.0868,25884.2683,19944.8119,13744.6058,10864.2101,22382.4319,23992.2131,14953.1257,21466.098,22734.863,24532.5914,23841.1525,29407.0931,29429.4374,32892.2499,22358.8405,19994.2526,16064.2399,14121.3523,34380.0927,강남구,2022-12-25 23:00:00,SE1
745618.2257,32324.4679,16287.5186,22892.0109,20590.854,26212.9143,27478.1905,33845.9786,31527.2183,32177.6132,25425.5389,24144.6768,18723.3097,14218.868,27220.7845,30718.0876,15826.2216,22426.1549,24544.0392,28675.1006,30320.0022,36148.4863,32130.8414,31987.2552,27141.2114,28002.3918,24085.7328,19100.4947,41442.2638,송파구,2022-12-25 12:00:00,SE2
759988.5946,32947.3933,16595.0358,23436.6082,21415.8175,27096.9873,28109.2216,34521.3212,32138.4099,32475.4395,25437.3253,24035.6073,18741.1683,14186.0772,27332.1879,31882.3946,16469.6619,23734.586,26215.581,29826.0889,31261.2154,36864.8469,32883.7466,32477.0349,27311.6725,28352.1994,24158.1472,19071.7198,41011.11,송파구,2022-12-25 13:00:00,SE2
775643.9451,33496.6169,16964.5141,24294.1077,22388.7534,28040.8015,28916.5713,35188.5381,32449.6827,32972.1261,25332.7706,24200.2303,18780.3321,14204.78,27163.8068,33164.6365,17137.2247,25260.234,27564.2325,31352.0945,31993.9977,37708.761,33509.1199,32843.1269,27600.5718,28692.0907,24179.3096,19125.3398,41119.5715,송파구,2022-12-25 14:00:00,SE2
788009.6906,34169.9332,17341.9609,25529.9533,23494.5768,28813.5002,29530.3251,35518.1538,32914.4299,33253.2682,25353.4522,24192.2184,18885.8165,14318.2543,27453.4758,33376.6146,17261.0916,26616.2484,28674.1371,32258.1254,32574.1413,38328.8052,34245.8545,32964.3527,27650.2553,28771.2879,24258.3428,19191.6277,41069.4906,송파구,2022-12-25 15:00:00,SE2
800692.2211,34510.7871,17480.226,26075.1624,24131.5266,29679.3395,30176.161,35833.8983,33186.944,33364.8129,25509.7176,24507.8427,19232.8257,14322.1948,27570.7383,33372.3825,17377.2584,27425.2845,30183.9547,33657.7666,33659.3649,39073.8026,34630.8579,33409.8375,27893.4061,29263.4243,24621.4937,19375.0577,41166.1469,송파구,2022-12-25 16:00:00,SE2
809199.4695,34095.0553,17324.5233,26278.2909,24450.5913,30173.4949,30932.2223,36137.7574,33408.7114,33734.8663,25760.4765,24762.7551,19431.5923,14456.6466,27912.8155,33097.4627,17241.9471,27706.506,31306.3824,34869.1707,34789.2782,39719.3214,34972.3208,33574.5736,28141.6595,29478.5366,24620.9863,19367.4827,41454.04,송파구,2022-12-25 17:00:00,SE2
801693.0491,33210.2549,16773.3261,25516.0205,23753.7046,29974.8659,30740.289,36036.9772,32954.2228,33392.9983,25826.5798,25068.4635,19603.6974,14653.8738,27987.5286,32517.2331,16932.6435,26919.2523,30845.3188,34532.2463,34614.6549,39246.0955,34394.2947,33268.6488,28061.8566,29439.7455,24573.3566,19296.1489,41558.7479,송파구,2022-12-25 18:00:00,SE2
793056.3568,32816.2794,16497.4151,24831.486,23214.8284,29457.5753,30212.2169,35489.4901,32781.1053,33108.9988,26032.1795,25010.2583,19728.6459,14784.0231,27923.9545,31974.9358,16534.3367,26276.4727,29953.2241,33889.5612,34195.6819,38686.2068,34062.5662,32998.9072,27924.2645,29295.5345,24561.7111,19290.108,41524.3836,송파구,2022-12-25 19:00:00,SE2
